Latitude,Longitude
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0538048,18.0235288
66.0537956,18.0235088
66.0537956,18.0235088
66.0537956,18.0235088
66.053784,18.023488
66.053784,18.023488
66.053784,18.023488
66.053772,18.023464
66.053772,18.023464
66.053772,18.023464
66.0537585,18.0234278
66.0537585,18.0234278
66.0537585,18.0234278
66.0537438,18.0233871
66.0537438,18.0233871
66.0537438,18.0233871
66.0537288,18.0233418
66.0537288,18.0233418
66.0537288,18.0233418
66.0537136,18.023292
66.0537136,18.023292
66.0537136,18.023292
66.0537036,18.023238
66.0537036,18.023238
66.0537036,18.023238
66.0536968,18.0231885
66.0536968,18.0231885
66.0536968,18.0231885
66.0536908,18.0231468
66.0536908,18.0231468
66.0536908,18.0231468
66.0536853,18.0231023
66.0536853,18.0231023
66.0536853,18.0231023
66.0536801,18.0230601
66.0536801,18.0230601
66.0536801,18.0230601
66.0536753,18.0230315
66.0536753,18.0230315
66.0536753,18.0230315
66.0536716,18.0230106
66.0536716,18.0230106
66.0536716,18.0230106
66.0536691,18.0229961
66.0536691,18.0229961
66.0536691,18.0229961
66.0536663,18.02299
66.0536663,18.02299
66.0536663,18.02299
66.0536663,18.02299
66.0536663,18.02299
66.0536616,18.0229735
66.0536616,18.0229735
66.0536616,18.0229735
66.0536588,18.0229531
66.0536588,18.0229531
66.0536588,18.0229531
66.0536548,18.0229248
66.0536548,18.0229248
66.0536548,18.0229248
66.0536505,18.0228816
66.0536505,18.0228816
66.0536505,18.0228816
66.0536406,18.0228281
66.0536406,18.0228281
66.0536406,18.0228281
66.053626,18.0227778
66.053626,18.0227778
66.053626,18.0227778
66.0536051,18.0227231
66.0536051,18.0227231
66.0536051,18.0227231
66.0535763,18.0226881
66.0535763,18.0226881
66.0535763,18.0226881
66.053541,18.0226663
66.053541,18.0226663
66.053541,18.0226663
66.0535015,18.0226555
66.0535015,18.0226555
66.0535015,18.0226555
66.053462,18.0226456
66.053462,18.0226456
66.053462,18.0226456
66.0534203,18.0226338
66.0534203,18.0226338
66.0534203,18.0226338
66.0533773,18.0226213
66.0533773,18.0226213
66.0533773,18.0226213
66.0533316,18.0226075
66.0533316,18.0226075
66.0533316,18.0226075
66.0532833,18.0225981
66.0532833,18.0225981
66.0532833,18.0225981
66.0532336,18.0225911
66.0532336,18.0225911
66.0532336,18.0225911
66.0531845,18.0225853
66.0531845,18.0225853
66.0531845,18.0225853
66.0531345,18.022579
66.0531345,18.022579
66.0531345,18.022579
66.0530838,18.0225633
66.0530838,18.0225633
66.0530838,18.0225633
66.0530346,18.0225255
66.0530346,18.0225255
66.0530346,18.0225255
66.0529895,18.0224631
66.0529895,18.0224631
66.0529895,18.0224631
66.0529488,18.0223815
66.0529488,18.0223815
66.0529488,18.0223815
66.0529131,18.022287
66.0529131,18.022287
66.0529131,18.022287
66.0528821,18.0221865
66.0528821,18.0221865
66.0528821,18.0221865
66.052851,18.0220848
66.052851,18.0220848
66.052851,18.0220848
66.0528198,18.021984
66.0528198,18.021984
66.0528198,18.021984
66.0527898,18.0218783
66.0527898,18.0218783
66.0527898,18.0218783
66.0527608,18.021769
66.0527608,18.021769
66.0527608,18.021769
66.0527323,18.0216555
66.0527323,18.0216555
66.0527323,18.0216555
66.052702,18.0215438
66.052702,18.0215438
66.052702,18.0215438
66.0526701,18.0214311
66.0526701,18.0214311
66.0526701,18.0214311
66.0526385,18.02132
66.0526385,18.02132
66.0526385,18.02132
66.0526065,18.021208
66.0526065,18.021208
66.0526065,18.021208
66.0525721,18.0210943
66.0525721,18.0210943
66.0525721,18.0210943
66.0525371,18.020981
66.0525371,18.020981
66.0525371,18.020981
66.0525005,18.0208728
66.0525005,18.0208728
66.0525005,18.0208728
66.0524623,18.0207708
66.0524623,18.0207708
66.0524623,18.0207708
66.0524225,18.0206801
66.0524225,18.0206801
66.0524225,18.0206801
66.0523838,18.0205986
66.0523838,18.0205986
66.0523838,18.0205986
66.0523478,18.020528
66.0523478,18.020528
66.0523478,18.020528
66.052313,18.0204708
66.052313,18.0204708
66.052313,18.0204708
66.052277,18.020419
66.052277,18.020419
66.052277,18.020419
66.0522406,18.0203761
66.0522406,18.0203761
66.0522406,18.0203761
66.052206,18.0203435
66.052206,18.0203435
66.052206,18.0203435
66.052175,18.0203223
66.052175,18.0203223
66.052175,18.0203223
66.0521516,18.0203128
66.0521516,18.0203128
66.0521516,18.0203128
66.0521338,18.0203083
66.0521338,18.0203083
66.0521338,18.0203083
66.0521196,18.0203066
66.0521196,18.0203066
66.0521196,18.0203066
66.052109,18.0203098
66.052109,18.0203098
66.052109,18.0203098
66.0521025,18.0203123
66.0521025,18.0203123
66.0521025,18.0203123
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.0521003,18.0203138
66.052089,18.0203043
66.052089,18.0203043
66.052089,18.0203043
66.0520761,18.0202971
66.0520761,18.0202971
66.0520761,18.0202971
66.0520605,18.0202915
66.0520605,18.0202915
66.0520605,18.0202915
66.0520435,18.020288
66.0520435,18.020288
66.0520435,18.020288
66.0520261,18.0202875
66.0520261,18.0202875
66.0520261,18.0202875
66.0520113,18.0202846
66.0520113,18.0202846
66.0520113,18.0202846
66.0520015,18.0202813
66.0520015,18.0202813
66.0520015,18.0202813
66.0519946,18.0202805
66.0519946,18.0202805
66.0519946,18.0202805
66.051988,18.0202801
66.051988,18.0202801
66.051988,18.0202801
66.05198,18.0202836
66.05198,18.0202836
66.05198,18.0202836
66.0519726,18.0202826
66.0519726,18.0202826
66.0519726,18.0202826
66.051965,18.02028
66.051965,18.02028
66.051965,18.02028
66.0519555,18.0202805
66.0519555,18.0202805
66.0519555,18.0202805
66.0519425,18.0202856
66.0519425,18.0202856
66.0519425,18.0202856
66.0519256,18.0202926
66.0519256,18.0202926
66.0519256,18.0202926
66.0519028,18.0203033
66.0519028,18.0203033
66.0519028,18.0203033
66.0518758,18.020321
66.0518758,18.020321
66.0518758,18.020321
66.0518441,18.0203426
66.0518441,18.0203426
66.0518441,18.0203426
66.0518075,18.020368
66.0518075,18.020368
66.0518075,18.020368
66.0517676,18.0203935
66.0517676,18.0203935
66.0517676,18.0203935
66.0517285,18.0204093
66.0517285,18.0204093
66.0517285,18.0204093
66.051692,18.0204128
66.051692,18.0204128
66.051692,18.0204128
66.0516593,18.0204126
66.0516593,18.0204126
66.0516593,18.0204126
66.0516315,18.0204098
66.0516315,18.0204098
66.0516315,18.0204098
66.051606,18.0204065
66.051606,18.0204065
66.051606,18.0204065
66.0515801,18.020406
66.0515801,18.020406
66.0515801,18.020406
66.0515545,18.0204043
66.0515545,18.0204043
66.0515545,18.0204043
66.0515265,18.0204013
66.0515265,18.0204013
66.0515265,18.0204013
66.0514965,18.0203988
66.0514965,18.0203988
66.0514965,18.0203988
66.0514641,18.020394
66.0514641,18.020394
66.0514641,18.020394
66.0514296,18.0203891
66.0514296,18.0203891
66.0514296,18.0203891
66.0513938,18.020384
66.0513938,18.020384
66.0513938,18.020384
66.0513561,18.020374
66.0513561,18.020374
66.0513561,18.020374
66.051317,18.0203631
66.051317,18.0203631
66.051317,18.0203631
66.051276,18.0203505
66.051276,18.0203505
66.051276,18.0203505
66.0512313,18.0203373
66.0512313,18.0203373
66.0512313,18.0203373
66.0511873,18.0203231
66.0511873,18.0203231
66.0511873,18.0203231
66.0511445,18.0203093
66.0511445,18.0203093
66.0511445,18.0203093
66.0511046,18.0202895
66.0511046,18.0202895
66.0511046,18.0202895
66.0510676,18.0202671
66.0510676,18.0202671
66.0510676,18.0202671
66.0510351,18.0202473
66.0510351,18.0202473
66.0510351,18.0202473
66.0510061,18.0202256
66.0510061,18.0202256
66.0510061,18.0202256
66.0509808,18.0202046
66.0509808,18.0202046
66.0509808,18.0202046
66.050959,18.0201841
66.050959,18.0201841
66.050959,18.0201841
66.0509423,18.02017
66.0509423,18.02017
66.0509423,18.02017
66.050932,18.0201608
66.050932,18.0201608
66.050932,18.0201608
66.0509293,18.0201568
66.0509293,18.0201568
66.0509293,18.0201568
66.0509293,18.0201568
66.0509293,18.0201568
66.0509293,18.0201568
66.0509293,18.0201568
66.0509293,18.0201568
66.0509293,18.0201568
66.0509171,18.0201606
66.0509171,18.0201606
66.0509171,18.0201606
66.0508988,18.0201713
66.0508988,18.0201713
66.0508988,18.0201713
66.050873,18.0201916
66.050873,18.0201916
66.050873,18.0201916
66.0508468,18.0202313
66.0508468,18.0202313
66.0508468,18.0202313
66.0508188,18.0202891
66.0508188,18.0202891
66.0508188,18.0202891
66.0507941,18.0203648
66.0507941,18.0203648
66.0507941,18.0203648
66.0507685,18.0204528
66.0507685,18.0204528
66.0507685,18.0204528
66.0507465,18.0205496
66.0507465,18.0205496
66.0507465,18.0205496
66.0507221,18.0206571
66.0507221,18.0206571
66.0507221,18.0206571
66.050695,18.0207721
66.050695,18.0207721
66.050695,18.0207721
66.0506646,18.0208965
66.0506646,18.0208965
66.0506646,18.0208965
66.0506316,18.0210278
66.0506316,18.0210278
66.0506316,18.0210278
66.0505966,18.021166
66.0505966,18.021166
66.0505966,18.021166
66.0505585,18.0213131
66.0505585,18.0213131
66.0505585,18.0213131
66.0505171,18.0214708
66.0505171,18.0214708
66.0505171,18.0214708
66.0504733,18.021636
66.0504733,18.021636
66.0504733,18.021636
66.0504271,18.0218096
66.0504271,18.0218096
66.0504271,18.0218096
66.0503776,18.0219913
66.0503776,18.0219913
66.0503776,18.0219913
66.0503265,18.0221803
66.0503265,18.0221803
66.0503265,18.0221803
66.050273,18.0223753
66.050273,18.0223753
66.050273,18.0223753
66.050218,18.0225698
66.050218,18.0225698
66.050218,18.0225698
66.0501613,18.0227643
66.0501613,18.0227643
66.0501613,18.0227643
66.0501025,18.022962
66.0501025,18.022962
66.0501025,18.022962
66.0500423,18.0231633
66.0500423,18.0231633
66.0500423,18.0231633
66.049981,18.0233675
66.049981,18.0233675
66.049981,18.0233675
66.049918,18.0235768
66.049918,18.0235768
66.049918,18.0235768
66.049852,18.0237925
66.049852,18.0237925
66.049852,18.0237925
66.0497841,18.024014
66.0497841,18.024014
66.0497841,18.024014
66.0497158,18.0242381
66.0497158,18.0242381
66.0497158,18.0242381
66.0496456,18.0244663
66.0496456,18.0244663
66.0496456,18.0244663
66.0495723,18.0247018
66.0495723,18.0247018
66.0495723,18.0247018
66.0494971,18.0249433
66.0494971,18.0249433
66.0494971,18.0249433
66.0494196,18.0251893
66.0494196,18.0251893
66.0494196,18.0251893
66.0493405,18.0254406
66.0493405,18.0254406
66.0493405,18.0254406
66.0492576,18.025695
66.0492576,18.025695
66.0492576,18.025695
66.0491708,18.0259521
66.0491708,18.0259521
66.0491708,18.0259521
66.0490813,18.0262073
66.0490813,18.0262073
66.0490813,18.0262073
66.0489898,18.0264658
66.0489898,18.0264658
66.0489898,18.0264658
66.0488973,18.0267275
66.0488973,18.0267275
66.0488973,18.0267275
66.0488051,18.026988
66.0488051,18.026988
66.0488051,18.026988
66.0487111,18.0272481
66.0487111,18.0272481
66.0487111,18.0272481
66.048616,18.0275078
66.048616,18.0275078
66.048616,18.0275078
66.048519,18.0277681
66.048519,18.0277681
66.048519,18.0277681
66.0484201,18.0280283
66.0484201,18.0280283
66.0484201,18.0280283
66.0483193,18.0282881
66.0483193,18.0282881
66.0483193,18.0282881
66.0482165,18.0285456
66.0482165,18.0285456
66.0482165,18.0285456
66.048112,18.0288
66.048112,18.0288
66.048112,18.0288
66.048006,18.0290526
66.048006,18.0290526
66.048006,18.0290526
66.0478981,18.0293051
66.0478981,18.0293051
66.0478981,18.0293051
66.0477876,18.0295553
66.0477876,18.0295553
66.0477876,18.0295553
66.0476741,18.0298035
66.0476741,18.0298035
66.0476741,18.0298035
66.0475591,18.0300521
66.0475591,18.0300521
66.0475591,18.0300521
66.0474433,18.0302996
66.0474433,18.0302996
66.0474433,18.0302996
66.0473261,18.0305478
66.0473261,18.0305478
66.0473261,18.0305478
66.0472068,18.030796
66.0472068,18.030796
66.0472068,18.030796
66.0470853,18.0310435
66.0470853,18.0310435
66.0470853,18.0310435
66.0469613,18.0312911
66.0469613,18.0312911
66.0469613,18.0312911
66.0468363,18.0315373
66.0468363,18.0315373
66.0468363,18.0315373
66.0467105,18.0317808
66.0467105,18.0317808
66.0467105,18.0317808
66.0465846,18.0320191
66.0465846,18.0320191
66.0465846,18.0320191
66.0464581,18.0322536
66.0464581,18.0322536
66.0464581,18.0322536
66.04633,18.0324868
66.04633,18.0324868
66.04633,18.0324868
66.046201,18.032719
66.046201,18.032719
66.046201,18.032719
66.0460695,18.0329483
66.0460695,18.0329483
66.0460695,18.0329483
66.045935,18.0331715
66.045935,18.0331715
66.045935,18.0331715
66.0457981,18.0333906
66.0457981,18.0333906
66.0457981,18.0333906
66.0456605,18.0336053
66.0456605,18.0336053
66.0456605,18.0336053
66.0455226,18.033818
66.0455226,18.033818
66.0455226,18.033818
66.0453835,18.0340285
66.0453835,18.0340285
66.0453835,18.0340285
66.0452436,18.034237
66.0452436,18.034237
66.0452436,18.034237
66.0451025,18.0344395
66.0451025,18.0344395
66.0451025,18.0344395
66.0449591,18.034636
66.0449591,18.034636
66.0449591,18.034636
66.0448135,18.0348281
66.0448135,18.0348281
66.0448135,18.0348281
66.0446651,18.0350185
66.0446651,18.0350185
66.0446651,18.0350185
66.0445146,18.0352043
66.0445146,18.0352043
66.0445146,18.0352043
66.0443628,18.0353861
66.0443628,18.0353861
66.0443628,18.0353861
66.0442105,18.0355641
66.0442105,18.0355641
66.0442105,18.0355641
66.0440566,18.0357415
66.0440566,18.0357415
66.0440566,18.0357415
66.043902,18.035917
66.043902,18.035917
66.043902,18.035917
66.0437485,18.0360918
66.0437485,18.0360918
66.0437485,18.0360918
66.0435951,18.0362696
66.0435951,18.0362696
66.0435951,18.0362696
66.043442,18.036447
66.043442,18.036447
66.043442,18.036447
66.0432881,18.0366235
66.0432881,18.0366235
66.0432881,18.0366235
66.0431333,18.0368015
66.0431333,18.0368015
66.0431333,18.0368015
66.0429765,18.0369805
66.0429765,18.0369805
66.0429765,18.0369805
66.0428181,18.0371596
66.0428181,18.0371596
66.0428181,18.0371596
66.042659,18.0373428
66.042659,18.0373428
66.042659,18.0373428
66.0424991,18.0375271
66.0424991,18.0375271
66.0424991,18.0375271
66.0423396,18.0377156
66.0423396,18.0377156
66.0423396,18.0377156
66.0421808,18.037907
66.0421808,18.037907
66.0421808,18.037907
66.0420225,18.038107
66.0420225,18.038107
66.0420225,18.038107
66.0418641,18.0383108
66.0418641,18.0383108
66.0418641,18.0383108
66.0417056,18.038522
66.0417056,18.038522
66.0417056,18.038522
66.0415468,18.0387371
66.0415468,18.0387371
66.0415468,18.0387371
66.0413881,18.0389583
66.0413881,18.0389583
66.0413881,18.0389583
66.041229,18.0391828
66.041229,18.0391828
66.041229,18.0391828
66.0410685,18.0394118
66.0410685,18.0394118
66.0410685,18.0394118
66.0409073,18.039643
66.0409073,18.039643
66.0409073,18.039643
66.0407471,18.0398746
66.0407471,18.0398746
66.0407471,18.0398746
66.0405895,18.040114
66.0405895,18.040114
66.0405895,18.040114
66.0404318,18.0403598
66.0404318,18.0403598
66.0404318,18.0403598
66.0402743,18.0406103
66.0402743,18.0406103
66.0402743,18.0406103
66.0401173,18.040864
66.0401173,18.040864
66.0401173,18.040864
66.0399615,18.0411225
66.0399615,18.0411225
66.0399615,18.0411225
66.0398045,18.0413826
66.0398045,18.0413826
66.0398045,18.0413826
66.039647,18.041643
66.039647,18.041643
66.039647,18.041643
66.0394911,18.0419093
66.0394911,18.0419093
66.0394911,18.0419093
66.0393373,18.0421825
66.0393373,18.0421825
66.0393373,18.0421825
66.039184,18.0424578
66.039184,18.0424578
66.039184,18.0424578
66.0390315,18.0427375
66.0390315,18.0427375
66.0390315,18.0427375
66.0388793,18.0430193
66.0388793,18.0430193
66.0388793,18.0430193
66.0387283,18.0433026
66.0387283,18.0433026
66.0387283,18.0433026
66.038579,18.0435886
66.038579,18.0435886
66.038579,18.0435886
66.0384306,18.0438801
66.0384306,18.0438801
66.0384306,18.0438801
66.0382816,18.0441731
66.0382816,18.0441731
66.0382816,18.0441731
66.0381328,18.0444656
66.0381328,18.0444656
66.0381328,18.0444656
66.0379841,18.04476
66.0379841,18.04476
66.0379841,18.04476
66.0378373,18.0450566
66.0378373,18.0450566
66.0378373,18.0450566
66.0376911,18.0453568
66.0376911,18.0453568
66.0376911,18.0453568
66.0375451,18.0456573
66.0375451,18.0456573
66.0375451,18.0456573
66.0373988,18.0459565
66.0373988,18.0459565
66.0373988,18.0459565
66.037254,18.0462578
66.037254,18.0462578
66.037254,18.0462578
66.0371095,18.0465638
66.0371095,18.0465638
66.0371095,18.0465638
66.036966,18.0468741
66.036966,18.0468741
66.036966,18.0468741
66.0368243,18.0471883
66.0368243,18.0471883
66.0368243,18.0471883
66.0366845,18.0475093
66.0366845,18.0475093
66.0366845,18.0475093
66.0365463,18.0478363
66.0365463,18.0478363
66.0365463,18.0478363
66.0364105,18.0481691
66.0364105,18.0481691
66.0364105,18.0481691
66.036277,18.0485085
66.036277,18.0485085
66.036277,18.0485085
66.0361461,18.048854
66.0361461,18.048854
66.0361461,18.048854
66.0360195,18.0492073
66.0360195,18.0492073
66.0360195,18.0492073
66.0358978,18.0495711
66.0358978,18.0495711
66.0358978,18.0495711
66.0357788,18.0499385
66.0357788,18.0499385
66.0357788,18.0499385
66.0356601,18.0503063
66.0356601,18.0503063
66.0356601,18.0503063
66.0355425,18.0506771
66.0355425,18.0506771
66.0355425,18.0506771
66.0354248,18.0510471
66.0354248,18.0510471
66.0354248,18.0510471
66.0353068,18.0514158
66.0353068,18.0514158
66.0353068,18.0514158
66.0351883,18.0517831
66.0351883,18.0517831
66.0351883,18.0517831
66.0350675,18.0521468
66.0350675,18.0521468
66.0350675,18.0521468
66.0349428,18.0525038
66.0349428,18.0525038
66.0349428,18.0525038
66.034815,18.0528565
66.034815,18.0528565
66.034815,18.0528565
66.0346835,18.0532046
66.0346835,18.0532046
66.0346835,18.0532046
66.0345491,18.0535463
66.0345491,18.0535463
66.0345491,18.0535463
66.0344108,18.0538803
66.0344108,18.0538803
66.0344108,18.0538803
66.034269,18.054209
66.034269,18.054209
66.034269,18.054209
66.0341221,18.0545296
66.0341221,18.0545296
66.0341221,18.0545296
66.033973,18.0548418
66.033973,18.0548418
66.033973,18.0548418
66.0338218,18.055148
66.0338218,18.055148
66.0338218,18.055148
66.0336693,18.0554456
66.0336693,18.0554456
66.0336693,18.0554456
66.0335155,18.0557318
66.0335155,18.0557318
66.0335155,18.0557318
66.033361,18.05601
66.033361,18.05601
66.033361,18.05601
66.0332045,18.056277
66.0332045,18.056277
66.0332045,18.056277
66.0330466,18.0565328
66.0330466,18.0565328
66.0330466,18.0565328
66.032887,18.0567775
66.032887,18.0567775
66.032887,18.0567775
66.0327268,18.0570145
66.0327268,18.0570145
66.0327268,18.0570145
66.0325678,18.0572438
66.0325678,18.0572438
66.0325678,18.0572438
66.0324086,18.057468
66.0324086,18.057468
66.0324086,18.057468
66.0322498,18.05769
66.0322498,18.05769
66.0322498,18.05769
66.0320905,18.0579091
66.0320905,18.0579091
66.0320905,18.0579091
66.0319306,18.0581271
66.0319306,18.0581271
66.0319306,18.0581271
66.0317695,18.0583435
66.0317695,18.0583435
66.0317695,18.0583435
66.0316063,18.058555
66.0316063,18.058555
66.0316063,18.058555
66.0314423,18.05876
66.0314423,18.05876
66.0314423,18.05876
66.0312781,18.0589648
66.0312781,18.0589648
66.0312781,18.0589648
66.0311136,18.0591695
66.0311136,18.0591695
66.0311136,18.0591695
66.030949,18.0593695
66.030949,18.0593695
66.030949,18.0593695
66.0307828,18.0595678
66.0307828,18.0595678
66.0307828,18.0595678
66.0306153,18.0597606
66.0306153,18.0597606
66.0306153,18.0597606
66.0304468,18.0599515
66.0304468,18.0599515
66.0304468,18.0599515
66.030278,18.0601445
66.030278,18.0601445
66.030278,18.0601445
66.0301091,18.0603371
66.0301091,18.0603371
66.0301091,18.0603371
66.0299403,18.0605293
66.0299403,18.0605293
66.0299403,18.0605293
66.0297716,18.0607181
66.0297716,18.0607181
66.0297716,18.0607181
66.0296026,18.0609021
66.0296026,18.0609021
66.0296026,18.0609021
66.0294323,18.0610878
66.0294323,18.0610878
66.0294323,18.0610878
66.0292621,18.0612718
66.0292621,18.0612718
66.0292621,18.0612718
66.0290916,18.0614581
66.0290916,18.0614581
66.0290916,18.0614581
66.0289206,18.0616441
66.0289206,18.0616441
66.0289206,18.0616441
66.0287496,18.0618266
66.0287496,18.0618266
66.0287496,18.0618266
66.028579,18.0620091
66.028579,18.0620091
66.028579,18.0620091
66.0284083,18.0621938
66.0284083,18.0621938
66.0284083,18.0621938
66.0282381,18.0623848
